# ---------------------------------- WARNING ----------------------------------------
# Provisional data are subject to revision. Go to
# http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-03-07 18:09:55 -05:00	(natwebvaas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 10011500 BEAR RIVER NEAR UTAH-WYOMING STATE LINE
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
# IV_TS_ID - An internal number representing the Instantaneous Value time series from which the daily statistic is calculated.
#
# Data provided for site 10011500
#    TS_ID       Parameter    Statistic  IV_TS_ID       Description
#    143377      00060        00003      144242         Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been edited or estimated by USGS personnel and is write protected.
#     P  Provisional data subject to revision.
#     Ice  Ice affected
#
agency_cd	site_no	datetime	143377_00060_00003	143377_00060_00003_cd
5s	15s	20d	14n	10s
USGS	10011500	1942-07-01	333	A
USGS	10011500	1942-07-02	323	A
USGS	10011500	1942-07-03	312	A
USGS	10011500	1942-07-04	312	A
USGS	10011500	1942-07-05	312	A
USGS	10011500	1942-07-06	308	A
USGS	10011500	1942-07-07	302	A
USGS	10011500	1942-07-08	320	A
USGS	10011500	1942-07-09	265	A
USGS	10011500	1942-07-10	250	A
USGS	10011500	1942-07-11	240	A
USGS	10011500	1942-07-12	220	A
USGS	10011500	1942-07-13	200	A
USGS	10011500	1942-07-14	185	A
USGS	10011500	1942-07-15	212	A
USGS	10011500	1942-07-16	228	A
USGS	10011500	1942-07-17	198	A
USGS	10011500	1942-07-18	198	A
USGS	10011500	1942-07-19	176	A
USGS	10011500	1942-07-20	158	A
USGS	10011500	1942-07-21	145	A
USGS	10011500	1942-07-22	136	A
USGS	10011500	1942-07-23	130	A
USGS	10011500	1942-07-24	123	A
USGS	10011500	1942-07-25	119	A
USGS	10011500	1942-07-26	114	A
USGS	10011500	1942-07-27	108	A
USGS	10011500	1942-07-28	103	A
USGS	10011500	1942-07-29	103	A
USGS	10011500	1942-07-30	97	A
USGS	10011500	1942-07-31	88	A
USGS	10011500	1942-08-01	80	A
USGS	10011500	1942-08-02	82	A
USGS	10011500	1942-08-03	84	A
USGS	10011500	1942-08-04	76	A
USGS	10011500	1942-08-05	74	A
USGS	10011500	1942-08-06	72	A
USGS	10011500	1942-08-07	68	A
USGS	10011500	1942-08-08	65	A
USGS	10011500	1942-08-09	63	A
USGS	10011500	1942-08-10	62	A
USGS	10011500	1942-08-11	62	A
USGS	10011500	1942-08-12	99	A
USGS	10011500	1942-08-13	65	A
USGS	10011500	1942-08-14	57	A
USGS	10011500	1942-08-15	52	A
USGS	10011500	1942-08-16	50	A
USGS	10011500	1942-08-17	47	A
USGS	10011500	1942-08-18	46	A
USGS	10011500	1942-08-19	48	A
USGS	10011500	1942-08-20	47	A
USGS	10011500	1942-08-21	45	A
USGS	10011500	1942-08-22	42	A
USGS	10011500	1942-08-23	44	A
USGS	10011500	1942-08-24	48	A
USGS	10011500	1942-08-25	68	A
USGS	10011500	1942-08-26	60	A
USGS	10011500	1942-08-27	48	A
USGS	10011500	1942-08-28	42	A
USGS	10011500	1942-08-29	45	A
USGS	10011500	1942-08-30	47	A
USGS	10011500	1942-08-31	45	A
USGS	10011500	1942-09-01	42	A
USGS	10011500	1942-09-02	40	A
USGS	10011500	1942-09-03	37	A
USGS	10011500	1942-09-04	39	A
USGS	10011500	1942-09-05	38	A
USGS	10011500	1942-09-06	39	A
USGS	10011500	1942-09-07	37	A
USGS	10011500	1942-09-08	36	A
USGS	10011500	1942-09-09	34	A
USGS	10011500	1942-09-10	35	A
USGS	10011500	1942-09-11	52	A
USGS	10011500	1942-09-12	63	A
USGS	10011500	1942-09-13	57	A
USGS	10011500	1942-09-14	46	A
USGS	10011500	1942-09-15	42	A
USGS	10011500	1942-09-16	39	A
USGS	10011500	1942-09-17	38	A
USGS	10011500	1942-09-18	38	A
USGS	10011500	1942-09-19	40	A
USGS	10011500	1942-09-20	40	A
USGS	10011500	1942-09-21	39	A
USGS	10011500	1942-09-22	39	A
USGS	10011500	1942-09-23	38	A
USGS	10011500	1942-09-24	38	A
USGS	10011500	1942-09-25	37	A
USGS	10011500	1942-09-26	37	A
USGS	10011500	1942-09-27	39	A
USGS	10011500	1942-09-28	41	A
USGS	10011500	1942-09-29	40	A
USGS	10011500	1942-09-30	40	A
USGS	10011500	1942-10-01	39	A
USGS	10011500	1942-10-02	39	A
USGS	10011500	1942-10-03	39	A
USGS	10011500	1942-10-04	39	A
USGS	10011500	1942-10-05	40	A
USGS	10011500	1942-10-06	41	A
USGS	10011500	1942-10-07	40	A
USGS	10011500	1942-10-08	40	A
USGS	10011500	1942-10-09	40	A
USGS	10011500	1942-10-10	40	A
USGS	10011500	1942-10-11	45	A
USGS	10011500	1942-10-12	66	A
USGS	10011500	1942-10-13	57	A
USGS	10011500	1942-10-14	57	A
USGS	10011500	1942-10-15	51	A
USGS	10011500	1942-10-16	46	A
USGS	10011500	1942-10-17	44	A
USGS	10011500	1942-10-18	42	A
USGS	10011500	1942-10-19	41	A
USGS	10011500	1942-10-20	40	A
USGS	10011500	1942-10-21	40	A
USGS	10011500	1942-10-22	40	A
USGS	10011500	1942-10-23	42	A
USGS	10011500	1942-10-24	42	A
USGS	10011500	1942-10-25	41	A
USGS	10011500	1942-10-26	41	A
USGS	10011500	1942-10-27	42	A
USGS	10011500	1942-10-28	46	A
USGS	10011500	1942-10-29	46	A
USGS	10011500	1942-10-30	48	A
USGS	10011500	1942-10-31	46	A
USGS	10011500	1942-11-01	52	A
USGS	10011500	1942-11-02	52	A
USGS	10011500	1942-11-03	54	A
USGS	10011500	1942-11-04	55	A
USGS	10011500	1942-11-05	48	A
USGS	10011500	1942-11-06	48	A
USGS	10011500	1942-11-07	48	A
USGS	10011500	1942-11-08	48	A
USGS	10011500	1942-11-09	48	A
USGS	10011500	1942-11-10	48	A
USGS	10011500	1942-11-11	48	A
USGS	10011500	1942-11-12	48	A
USGS	10011500	1942-11-13	48	A
USGS	10011500	1942-11-14	48	A
USGS	10011500	1942-11-15	48	A
USGS	10011500	1942-11-16	48	A
USGS	10011500	1942-11-17	48	A
USGS	10011500	1942-11-18	48	A
USGS	10011500	1942-11-19	48	A
USGS	10011500	1942-11-20	48	A
USGS	10011500	1942-11-21	48	A
USGS	10011500	1942-11-22	48	A
USGS	10011500	1942-11-23	48	A
USGS	10011500	1942-11-24	48	A
USGS	10011500	1942-11-25	48	A
USGS	10011500	1942-11-26	48	A
USGS	10011500	1942-11-27	48	A
USGS	10011500	1942-11-28	48	A
USGS	10011500	1942-11-29	48	A
USGS	10011500	1942-11-30	48	A
USGS	10011500	1942-12-01	34	A
USGS	10011500	1942-12-02	34	A
USGS	10011500	1942-12-03	34	A
USGS	10011500	1942-12-04	34	A
USGS	10011500	1942-12-05	34	A
USGS	10011500	1942-12-06	34	A
USGS	10011500	1942-12-07	34	A
USGS	10011500	1942-12-08	34	A
USGS	10011500	1942-12-09	34	A
USGS	10011500	1942-12-10	34	A
USGS	10011500	1942-12-11	34	A
USGS	10011500	1942-12-12	34	A
USGS	10011500	1942-12-13	34	A
USGS	10011500	1942-12-14	34	A
USGS	10011500	1942-12-15	34	A
USGS	10011500	1942-12-16	34	A
USGS	10011500	1942-12-17	34	A
USGS	10011500	1942-12-18	34	A
USGS	10011500	1942-12-19	34	A
USGS	10011500	1942-12-20	34	A
USGS	10011500	1942-12-21	34	A
USGS	10011500	1942-12-22	34	A
USGS	10011500	1942-12-23	34	A
USGS	10011500	1942-12-24	34	A
USGS	10011500	1942-12-25	34	A
USGS	10011500	1942-12-26	34	A
USGS	10011500	1942-12-27	34	A
USGS	10011500	1942-12-28	34	A
USGS	10011500	1942-12-29	34	A
USGS	10011500	1942-12-30	34	A
USGS	10011500	1942-12-31	34	A
USGS	10011500	1943-01-01	30	A
USGS	10011500	1943-01-02	30	A
USGS	10011500	1943-01-03	30	A
USGS	10011500	1943-01-04	30	A
USGS	10011500	1943-01-05	30	A
USGS	10011500	1943-01-06	30	A
USGS	10011500	1943-01-07	30	A
USGS	10011500	1943-01-08	30	A
USGS	10011500	1943-01-09	30	A
USGS	10011500	1943-01-10	30	A
USGS	10011500	1943-01-11	30	A
USGS	10011500	1943-01-12	30	A
USGS	10011500	1943-01-13	30	A
USGS	10011500	1943-01-14	30	A
USGS	10011500	1943-01-15	30	A
USGS	10011500	1943-01-16	30	A
USGS	10011500	1943-01-17	30	A
USGS	10011500	1943-01-18	30	A
USGS	10011500	1943-01-19	30	A
USGS	10011500	1943-01-20	30	A
USGS	10011500	1943-01-21	30	A
USGS	10011500	1943-01-22	30	A
