Year,ENSO,ENSO_var,ENSO_short,PDO
900,-1.446,,,
901,-1.087,,,
902,0.536,,,
903,-0.741,,,
904,0.808,,,
905,1.801,,,
906,-1.546,,,
907,-1.967,,,
908,1.568,,,
909,0.559,,,
910,-0.393,1.158,,
911,1.184,1,,
912,-0.551,0.99,,
913,-1.199,0.982,,
914,-0.055,1.173,,
915,0.38,1.285,,
916,0.163,1.182,,
917,0.443,1.086,,
918,0.477,0.906,,
919,0.406,0.818,,
920,-0.622,0.948,,
921,0.022,1.016,,
922,-1.023,0.853,,
923,0.375,0.654,,
924,-1.936,0.379,,
925,1.648,0.441,,
926,1.203,0.446,,
927,-0.972,0.569,,
928,0.48,0.635,,
929,0.593,0.738,,
930,-1.728,0.728,,
931,0.552,0.845,,
932,0.131,0.879,,
933,0.274,0.845,,
934,0.078,0.841,,
935,-0.403,0.65,,
936,0.458,0.527,,
937,-0.214,0.466,,
938,0.202,0.413,,
939,-0.726,0.441,,
940,-0.074,0.409,,
941,1.551,0.318,,
942,-0.433,0.299,,
943,-0.827,0.345,,
944,-0.211,0.468,,
945,0.477,0.474,,
946,0.642,0.613,,
947,-0.475,0.722,,
948,-0.415,0.79,,
949,0.831,0.881,,
950,-0.001,0.927,,
951,-0.629,0.976,,
952,0.201,0.864,,
953,0.851,0.889,,
954,-1.889,0.854,,
955,0.202,0.87,,
956,1.639,0.897,,
957,-1.372,0.88,,
958,-1.013,0.863,,
959,1.19,1.071,,
960,1.072,1.082,,
961,-1.123,1.081,,
962,0.16,1.17,,
963,0.638,1.343,,
964,-0.509,1.343,,
965,-0.435,1.454,,
966,0.845,1.439,,
967,0.272,1.45,,
968,0.325,1.323,,
969,-1.877,1.195,,
970,1.036,1.274,,
971,0.042,1.43,,
972,-1.217,1.584,,
973,1.98,1.564,,
974,0.851,1.594,,
975,-2.545,1.597,,
976,0.09,1.574,,
977,1.701,1.525,,
978,-0.17,1.571,,
979,0.24,1.77,,
980,-1.241,1.603,,
981,-1.814,1.607,,
982,1.965,1.677,,
983,-0.121,1.626,,
984,-0.901,1.414,,
985,0.411,1.352,,
986,-0.082,1.098,,
987,0.192,1.097,,
988,0.837,0.904,,
989,2.024,0.956,,
990,-0.972,1.118,,
991,-0.871,1.068,,
992,-0.939,0.895,,
993,-0.773,0.695,,
994,0.732,0.757,,
995,0.135,1.011,,
996,0.749,1.029,,
997,0.088,1.184,,
998,-0.138,1.197,,
999,-0.981,1.187,,
1000,1.601,0.95,,
1001,-0.826,0.885,,
1002,0.283,0.796,,
1003,-0.239,0.674,,
1004,0.92,0.768,,
1005,-2.914,0.733,,
1006,0.67,0.782,,
1007,1.613,0.753,,
1008,0.55,0.764,,
1009,-0.483,0.833,,
1010,-0.003,0.757,,
1011,-0.234,0.595,,
1012,0.035,0.607,,
1013,-0.013,0.602,,
1014,-1.408,0.708,,
1015,0.405,0.649,,
1016,0.743,0.477,,
1017,0.495,0.458,,
1018,-0.193,0.337,,
1019,-0.738,0.292,,
1020,0.639,0.27,,
1021,-0.014,0.275,,
1022,-0.913,0.284,,
1023,0.173,0.309,,
1024,1.263,0.329,,
1025,-0.223,0.33,,
1026,-0.026,0.33,,
1027,-0.453,0.318,,
1028,-0.054,0.308,,
1029,0.107,0.342,,
1030,0.258,0.273,,
1031,0.164,0.279,,
1032,-0.263,0.355,,
1033,0.406,0.282,,
1034,0.592,0.344,,
1035,-1.618,0.28,,
1036,-0.162,0.278,,
1037,0.638,0.292,,
1038,0.395,0.358,,
1039,-0.432,0.362,,
1040,0.073,0.369,,
1041,-0.726,0.401,,
1042,0.925,0.459,,
1043,0.036,0.452,,
1044,-0.783,0.469,,
1045,0.535,0.536,,
1046,-0.151,0.405,,
1047,0.549,0.428,,
1048,-1.194,0.436,,
