# Bear River, Utah 1,200 Year Streamflow Reconstruction
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/19299 
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/treering/reconstructions/northamerica/usa/utah/bear2015flow.txt
#
# Original_Source_URL: 
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Climate Reconstructions
#
# Parameter_Keywords: Streamflow
#--------------------
# Contribution_Date
#	Date: 2015-09-29
#--------------------
# Title
#	Study_Name: Bear River, Utah 1,200 Year Streamflow Reconstruction
#--------------------
# Investigators
# 	Investigators: DeRose, R.J.; Bekker, M.F.; Wang, S.-Y.; Buckley, B.M.; Kjelgren, R.K.; Bardsley, T.; Rittenour, T.M.; Allen, E.B.
#--------------------
# Description_and_Notes
#	Description: Tree-ring-based reconstruction of Bear River, Utah streamflow over the past 1200 years. Utah Juniper tree-ring data 
#	are archived in the International Tree-Ring Data Bank, Site Code UT541: 
#	https://www.ncdc.noaa.gov/paleo/study/19359
#--------------------
# Publication 
#	Authors: R.J. DeRose, M.F. Bekker, S.-Y. Wang, B.M. Buckley, R.K. Kjelgren, T. Bardsley, T.M. Rittenour, E.B. Allen
#	Published_Date_or_Year: 2015-10-01
#	Published_Title: A millennium-length reconstruction of Bear River stream flow, Utah
#	Journal_Name: Journal of Hydrology
#	Volume: 529
#	Edition: 2
#	Issue: 
#	Pages: 524-534
#	Report_Number: 
#	DOI: 10.1016/j.jhydrol.2015.01.014
#	Online_Resource: http://www.sciencedirect.com/science/article/pii/S0022169415000311
#	Full_Citation: 
#	Abstract: The Bear River contributes more water to the eastern Great Basin than any other river system. It is also the most significant source of water for the burgeoning Wasatch Front metropolitan area in northern Utah. Despite its importance for water resources for the region's agricultural, urban, and wildlife needs, our understanding of the variability of Bear River's stream flow derives entirely from the short instrumental record (1943-2010). Here we present a 1200-year calibrated and verified tree-ring reconstruction of stream flow for the Bear River that explains 67% of the variance of the instrumental record over the period from 1943 to 2010. Furthermore, we developed this reconstruction from a species that is not typically used for dendroclimatology, Utah juniper (Juniperus osteosperma). We identify highly significant periodicity in our reconstruction at quasi-decadal (7-8 year), multi-decadal (30 year), and centennial (>50 years) scales. The latter half of the 20th century was found to be the 2nd wettest (~40-year) period of the past 1200 years, while the first half of the 20th century marked the 4th driest period. The most severe period of reduced stream flow occurred during the Medieval Warm Period (ca. mid-1200s CE) and persisted for ~70 years. Upper-level circulation anomalies suggest that atmospheric teleconnections originating in the western tropical Pacific are responsible for the delivery of precipitation to the Bear River watershed during the October-December (OND) season of the previous year. The Bear River flow was compared to recent reconstructions of the other tributaries to the Great Salt Lake (GSL) and the GSL level. Implications for water management could be drawn from the observation that the latter half of the 20th century was the 2nd wettest in 1200 years, and that management for future water supply should take into account the stream flow variability over the past millennium.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US Bureau of Reclamation
#	Grant: WaterSmart Grant R13AC80039
#------------------
# Site_Information 
#	Site_Name: Bear River Headwaters (USGS gage 10011500)
#	Location: North America>United States Of America>Utah
#	Country: United States Of America 
#	Northernmost_Latitude: 40.9653
#	Southernmost_Latitude: 40.9653
#	Easternmost_Longitude: -110.8528
#	Westernmost_Longitude: -110.8528 
#	Elevation: 2428 m  
#------------------
# Data_Collection   
#	Collection_Name: Bear2015flow
#	Earliest_Year: 800
#	Most_Recent_Year: 2010
#	Time_Unit: AD
#	Core_Length: m
#	Notes: 
#------------------
# Species 
#	Species_Name: Juniperus osteosperma
#	Common_Name: Utah juniper 
#	Tree_Species_Code: JUOS 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------	
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
## age_AD	Age, , , AD, , , , ,N
## flow-rec-m3s	Streamflow, , , cubic meters per second, water year (October–September), Climate Reconstructions, water-year (October–September) mean annual flow (MAF), tree-ring reconstructed,N
## flow-obs-m3s	Streamflow, , , cubic meters per second, water year (October–September), Climate Reconstructions, water-year (October–September) mean annual flow (MAF), observed,N		
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
age_AD	flow-rec-m3s	flow-obs-m3s
2010	5.781	4.989
2009	6.398	5.927
2008	4.931	5.615
2007	4.219	4.075
2006	4.473	5.315
2005	5.378	6.453
2004	3.947	3.489
2003	4.252	4.103
2002	3.650	2.914
2001	3.926	3.446
2000	4.599	3.834
1999	6.354	6.601
1998	7.217	6.892
1997	6.129	7.008
1996	5.305	6.131
1995	6.394	8.492
1994	4.002	3.763
1993	5.597	6.572
1992	4.271	3.222
1991	5.182	4.890
1990	4.171	4.248
1989	5.581	4.534
1988	4.522	3.710
1987	5.313	4.933
1986	8.494	9.486
1985	7.562	6.408
1984	7.466	8.699
1983	7.632	8.838
1982	6.631	7.209
1981	5.890	4.904
1980	5.282	5.094
1979	3.554	3.783
1978	5.955	5.321
1977	3.623	2.311
1976	5.447	4.044
1975	7.110	6.686
1974	6.786	6.153
1973	7.006	5.420
1972	7.073	6.080
1971	6.983	6.703
1970	6.731	5.301
1969	6.223	5.525
1968	6.074	6.640
1967	6.488	6.875
1966	3.891	4.519
1965	5.594	8.073
1964	5.714	5.287
1963	5.143	3.996
1962	5.079	6.354
1961	2.610	3.095
1960	4.413	4.086
1959	4.651	4.449
1958	4.236	4.565
1957	5.984	6.660
1956	4.679	5.338
1955	2.723	3.820
1954	3.111	3.200
1953	4.841	5.216
1952	5.566	7.648
1951	6.256	5.697
1950	6.452	6.470
1949	5.330	5.069
1948	4.733	4.610
1947	6.526	6.434
1946	5.170	4.927
1945	4.454	4.828
1944	5.639	5.768
1943	5.638	5.295
1942	4.078	
1941	4.472	
1940	3.200	
1939	4.034	
1938	4.197	
1937	4.442	
1936	3.959	
1935	3.348	
1934	1.949	
1933	2.833	
1932	4.483	
1931	2.335	
1930	3.644	
1929	4.639	
1928	4.489	
1927	4.226	
1926	3.271	
1925	4.256	
1924	4.267	
1923	5.675	
1922	4.955	
1921	5.355	
1920	4.117	
1919	2.869	
1918	3.148	
1917	3.722	
1916	4.991	
1915	3.879	
1914	5.348	
1913	3.995	
1912	4.175	
1911	3.799	
1910	4.260	
1909	5.389	
1908	5.938	
1907	6.525	
1906	5.568	
1905	3.235	
1904	4.968	
1903	3.393	
1902	3.426	
1901	4.530	
1900	3.752	
1899	4.856	
1898	5.055	
1897	4.443	
1896	4.232	
1895	4.381	
1894	4.299	
1893	3.652	
1892	3.184	
1891	3.109	
1890	3.949	
1889	2.273	
1888	2.641	
1887	4.139	
1886	4.907	
1885	6.330	
1884	5.458	
1883	4.464	
1882	3.803	
1881	3.987	
1880	4.863	
1879	3.238	
1878	3.892	
1877	5.829	
1876	6.274	
1875	5.442	
1874	4.487	
1873	5.897	
1872	6.018	
1871	4.964	
1870	7.336	
1869	7.798	
1868	8.012	
1867	6.368	
1866	6.349	
1865	4.756	
1864	4.413	
1863	4.512	
1862	5.207	
1861	4.357	
1860	4.026	
1859	4.761	
1858	3.478	
1857	4.819	
1856	3.467	
1855	3.818	
1854	6.143	
1853	6.011	
1852	3.908	
1851	4.337	
1850	5.581	
1849	4.627	
1848	3.892	
1847	3.998	
1846	3.025	
1845	2.538	
1844	3.659	
1843	5.598	
1842	3.224	
1841	4.983	
1840	5.345	
1839	4.549	
1838	5.850	
1837	4.015	
1836	3.423	
1835	5.710	
1834	3.264	
1833	5.223	
1832	7.519	
1831	5.730	
1830	4.918	
1829	4.923	
1828	7.419	
1827	7.166	
1826	6.398	
1825	3.563	
1824	2.678	
1823	4.470	
1822	4.287	
1821	6.106	
1820	7.185	
1819	6.724	
1818	3.939	
1817	4.466	
1816	6.235	
1815	6.311	
1814	3.088	
1813	6.423	
1812	6.007	
1811	7.803	
1810	6.233	
1809	4.635	
1808	4.521	
1807	5.254	
1806	3.244	
1805	5.300	
1804	3.517	
1803	5.030	
1802	5.434	
1801	4.869	
1800	2.816	
1799	5.348	
1798	2.938	
1797	4.307	
1796	3.717	
1795	3.088	
1794	3.207	
1793	3.769	
1792	5.464	
1791	5.372	
1790	5.676	
1789	5.954	
1788	3.544	
1787	5.105	
1786	3.498	
1785	4.757	
1784	5.036	
1783	3.376	
1782	3.286	
1781	5.358	
1780	4.455	
1779	4.073	
1778	3.010	
1777	3.104	
1776	5.350	
1775	5.289	
1774	4.551	
1773	4.876	
1772	3.907	
1771	5.367	
1770	3.382	
1769	5.999	
1768	6.533	
1767	4.700	
1766	6.002	
1765	3.524	
1764	4.988	
1763	4.222	
1762	5.284	
1761	5.827	
1760	4.753	
1759	3.461	
1758	4.389	
1757	4.865	
1756	1.948	
1755	3.554	
1754	5.171	
1753	5.649	
1752	5.782	
1751	3.381	
1750	5.420	
1749	5.834	
1748	6.424	
1747	7.436	
1746	6.691	
1745	4.692	
1744	4.259	
1743	5.355	
