Name,ID,State,spp,Elev_m,Lat ,Lon,Corr,Sens,group,family,genus,species,common_name
Big Flat Ridge,BFL,UT,pifl,3000,40.56,-111.58,0.55,0.176,Gymnosperm,Pinaceae,pinus,flexilis,Limber pine
Big Flat Ridge ,BFD,UT,psme,3000,40.56,-111.58,0.653,0.173,Gymnosperm,Pinaceae,pseudotsuga,menziesii,Douglas fir
Card Canyon,CCU,UT,juos,1700,41.7587,-111.662559,0.661,0.269,Gymnosperm,Cupressaceae,juniperus,osteosperma,Utah juniper
Cottonwood Lake,CLD,WY,psme,2500,42.6367,-110.807059,0.741,0.246,Gymnosperm,Pinaceae,pseudotsuga,menziesii,Douglas fir
Crawford Mountain,CMP,UT,pied,2345,41.654,-111.111,0.813,0.458,Gymnosperm,Pinaceae,pinus,edulis,Colorado pinyon
Crawford Mountain,CMU,UT,juos,2345,41.654,-111.111,0.824,0.641,Gymnosperm,Cupressaceae,juniperus,osteosperma,Utah juniper
Eureka,EUR,UT,pimo,2070,39.9898,-112.175003,0.678,0.325,Gymnosperm,Pinaceae,pinus,monophylla,Singleleaf pinyon
Hartley Canyon,HCD,ID,psme,2245,42.4147,-112.9753,0.597,0.236,Gymnosperm,Pinaceae,pseudotsuga,menziesii,Douglas fir
Jardine Juniper Trail,JTD,UT,psme,2100,41.81,-111.63,0.67,0.193,Gymnosperm,Pinaceae,pseudotsuga,menziesii,Douglas fir
Jardine Juniper Trail,JTL,UT,pifl,2100,41.81,-111.63,0.591,0.183,Gymnosperm,Pinaceae,pinus,flexilis,Limber pine
Jardine Juniper Trail,JTR,UT,jusc,2100,41.81,-111.63,0.605,0.227,Gymnosperm,Cupressaceae,juniperus,scopulorum,Rocky Mountain juniper
Jones Hole,JHD,UT,psme,1770,40.5954,-109.073,0.799,0.343,Gymnosperm,Pinaceae,pseudotsuga,menziesii,Douglas fir
Left Hand Fork,LFR,UT,jusc,1980,41.65,-111.71,0.661,0.274,Gymnosperm,Cupressaceae,juniperus,scopulorum,Rocky Mountain juniper
Left Hand Fork,LFU,UT,juos,1980,41.65,-111.71,0.555,0.295,Gymnosperm,Cupressaceae,juniperus,osteosperma,Utah juniper
Logan Dry Canyon,LDS,UT,pimo,2040,41.7326,-111.768267,0.606,0.242,Gymnosperm,Pinaceae,pinus,monophylla,Singleleaf pinyon
Magog Peak,MAP,UT,pifl,2730,41.9089,-111.657997,0.538,0.179,Gymnosperm,Pinaceae,pinus,flexilis,Limber pine
Maguire Canyon,MCD,UT,psme,2133,41.3661,-111.978996,0.691,0.248,Gymnosperm,Pinaceae,pseudotsuga,menziesii,Douglas fir
Maguire Canyon,MCL,UT,pifl,2133,41.3661,-111.978996,0.52,0.234,Gymnosperm,Pinaceae,pinus,flexilis,Limber pine
Naomi Peak,NAD,UT,psme,2730,41.9089,-111.657997,0.595,0.174,Gymnosperm,Pinaceae,pseudotsuga,menziesii,Douglas fir
Paris Peak,PPD,ID,psme,2750,42.2004,-111.547996,0.524,0.189,Gymnosperm,Pinaceae,pseudotsuga,menziesii,Douglas fir
Raft River Range,RRU,UT,juos,1828,41.9562,-113.320999,0.791,0.664,Gymnosperm,Cupressaceae,juniperus,osteosperma,Utah juniper
Raft River Range,RRS,UT,pimo,1828,41.9562,-113.320999,0.774,0.461,Gymnosperm,Pinaceae,pinus,monophylla,Singleleaf pinyon
Rattlesnake Mountain,RSM,UT,pied,2130,40.2565,-111.416999,0.688,0.311,Gymnosperm,Pinaceae,pinus,edulis,Colorado pinyon
Red Canyon,RCP,UT,pipo,2280,38.94,-112.06,0.745,0.352,Gymnosperm,Pinaceae,pinus,ponderosa,Ponderosa pine
Red Canyon,RCD,UT,psme,2280,38.94,-112.06,0.805,0.371,Gymnosperm,Pinaceae,pseudotsuga,menziesii,Douglas fir
